latitude,longitude,class
14.41044302,-88.84687507,pine_oak
14.39185179,-88.80998164,pine_oak
14.41531278,-88.84038113,pine_oak
14.38897054,-88.82654663,pine_oak
16.74965659,-88.39071985,pine_oak
16.53423833,-88.71250833,pine_oak
17.05354596,-88.32634114,pine_oak
17.54045223,-88.30749124,pine_oak
16.65815122,-92.60518351,pine_oak
16.683455,-92.59800833,pine_oak
17.01869747,-88.90531632,pine_oak
15.34071982,-92.24589058,pine_oak
17.76346962,-88.63055006,pine_oak
16.10656184,-91.67024609,pine_oak
16.68280597,-92.60298797,pine_oak
16.684853,-92.60317797,pine_oak
17.07287489,-88.9683448,pine_oak
16.68246833,-92.60223833,pine_oak
16.6835712,-92.6011264,pine_oak
17.318425,-88.565545,pine_oak
14.34948168,-89.118327,pine_oak
17.76316333,-88.62780833,pine_oak
17.763225,-88.627595,pine_oak
15.40192597,-91.08503561,pine_oak
14.60217979,-90.47306898,pine_oak
16.68348448,-92.59770977,pine_oak
14.69084505,-90.52326637,pine_oak
14.54364434,-90.47709304,pine_oak
17.77158833,-88.54541167,pine_oak
16.68307381,-92.59529182,pine_oak
16.68264813,-92.5990897,pine_oak
17.35722081,-88.5401735,pine_oak
14.500461,-90.8756662,pine_oak
15.04368,-91.8981826,pine_oak
15.11123397,-92.109587,pine_oak
16.77356667,-88.44832,pine_oak
15.270927,-92.288405,pine_oak
15.270903,-92.2884,pine_oak
16.72959239,-92.60211725,pine_oak
17.76221278,-88.62431598,pine_oak
17.07831132,-88.96678134,pine_oak
16.72502484,-92.58408,pine_oak
17.35840333,-88.54423667,pine_oak
16.690041,-92.603059,pine_oak
16.69010342,-92.60280572,pine_oak
16.707477,-92.607707,pine_oak
16.72526397,-92.58446,pine_oak
16.72487397,-92.584457,pine_oak
16.72609697,-92.58479597,pine_oak
16.71810556,-92.59963889,pine_oak
16.72749597,-92.606187,pine_oak
16.98005333,-88.99101333,pine_oak
15.75619997,-92.55351297,pine_oak
15.78559397,-92.60691197,pine_oak
15.784508,-92.607224,pine_oak
17.189877,-88.49765,pine_oak
16.54323073,-92.49377761,pine_oak
16.5276608,-92.50890749,pine_oak
17.881955,-89.18163333,pine_oak
17.35111896,-88.55136894,pine_oak
17.03803883,-88.96598833,pine_oak
15.46284167,-92.28213667,pine_oak
17.04474021,-88.90876426,pine_oak
14.605515,-90.512225,pine_oak
16.68303667,-92.59976167,pine_oak
17.06089833,-88.95741424,pine_oak
17.07195203,-88.96722673,pine_oak
15.49723527,-88.21616035,pine_oak
16.68349667,-92.60153833,pine_oak
16.6037983,-88.514985,pine_oak
14.55091257,-88.73138258,pine_oak
14.37415704,-88.8132496,pine_oak
14.37399075,-88.81556703,pine_oak
14.37259549,-88.81330056,pine_oak
16.72283797,-92.586567,pine_oak
16.98952833,-88.97796667,pine_oak
14.42924772,-89.9960015,pine_oak
14.43781023,-89.96285208,pine_oak
16.77354722,-88.44830556,pine_oak
13.93084039,-88.09727177,pine_oak
15.0393445,-89.69256667,pine_oak
17.01279444,-88.97205,pine_oak
16.77579371,-92.4999701,pine_oak
16.68341865,-92.59809321,pine_oak
16.67000988,-92.58419654,pine_oak
16.73412797,-92.60416297,pine_oak
14.53270069,-88.71444548,pine_oak
16.24849667,-92.02090167,pine_oak
16.73176254,-92.61204555,pine_oak
16.68262943,-92.6011874,pine_oak
16.68109097,-92.59924597,pine_oak
16.68150197,-92.59994197,pine_oak
16.68255615,-92.60167694,pine_oak
16.68232119,-92.60014012,pine_oak
16.69818093,-92.61125788,pine_oak
16.683571,-92.601044,pine_oak
16.68292697,-92.604634,pine_oak
16.69376389,-92.46135278,pine_oak
15.22319172,-90.28522306,pine_oak
16.7003547,-92.61251248,pine_oak
14.53731312,-90.49530046,pine_oak
15.4965076,-88.2070583,pine_oak
17.53000807,-88.29727605,pine_oak
15.31144643,-92.31158619,pine_oak
16.80455402,-92.57060382,pine_oak
16.63895278,-92.34467778,pine_oak
16.695405,-92.60714667,pine_oak
16.70552415,-92.61471487,pine_oak
17.01869747,-88.90531632,pine_oak
16.22368579,-92.13087559,pine_oak
15.34956667,-92.32476389,pine_oak
16.68306425,-92.59577151,pine_oak
16.68295392,-92.59585107,pine_oak
15.02726438,-92.59903555,pine_oak
